work_year;experience_level;employment_type;job_title;salary_usd;employee_residence;remote_ratio;company_id;employment_status
2022;4;4;10;288436;8;100;36;3
2022;3;3;47;311790;15;0;49;2
2021;2;3;37;50801;51;50;34;4
2021;4;1;32;259042;42;50;93;4
2021;1;3;42;410324;22;0;81;4
2022;2;2;11;371139;5;50;70;3
2021;4;1;16;404556;20;50;2;3
2022;2;2;12;380883;48;0;46;1
2022;3;1;47;394945;35;0;31;1
2021;1;4;25;463471;44;0;21;1
2022;4;4;9;163469;4;0;31;1
2022;2;4;48;561663;31;100;68;1
2022;2;3;24;467108;56;0;31;1
2022;2;4;40;515030;22;0;51;1
2022;4;3;17;153027;15;100;46;3
2021;2;3;20;37634;41;0;96;3
2021;3;1;11;59033;38;0;40;3
2020;1;1;33;580422;44;50;32;2
2022;3;1;30;593623;11;0;13;3
2021;2;3;26;408864;46;0;56;2
2021;1;2;36;128400;34;0;87;4
2021;1;3;5;81378;50;100;30;2
2022;2;3;29;443340;42;0;12;1
2020;2;4;30;66114;56;100;34;3
2021;3;3;33;467278;9;50;62;1
2021;1;2;3;255924;39;100;24;4
2021;3;2;1;108749;31;100;43;1
2022;3;3;15;40877;21;100;24;2
2021;2;1;49;54629;42;0;70;4
2021;2;2;33;264182;6;100;77;2
2020;4;3;41;523410;49;100;48;4
2021;1;3;49;351092;9;100;75;1
2020;1;4;1;463424;55;100;35;2
2022;1;2;41;113463;26;0;46;1
2020;3;4;8;477561;6;100;86;1
2022;1;4;46;474054;17;0;27;3
2021;2;4;43;272518;37;50;75;1
2020;3;3;20;225633;51;50;38;1
2020;3;1;15;325130;26;0;35;3
2021;3;4;12;560207;31;100;3;4
2022;2;4;19;19043;56;50;87;2
2022;4;3;5;491502;39;50;59;1
2022;3;3;47;267538;31;100;53;1
2021;3;1;39;535218;36;0;89;3
2021;1;2;20;132300;16;0;50;4
2021;4;3;3;588583;52;50;5;2
2022;4;1;44;278708;37;50;83;3
2022;4;1;45;10125;26;100;16;2
2021;4;4;41;519076;51;50;25;4
2021;4;1;33;209323;22;50;76;3
2022;4;4;32;551428;4;50;55;2
2022;2;1;38;522485;31;100;52;4
2021;1;2;33;552452;44;0;46;3
2022;2;1;17;277702;5;50;47;3
2021;1;4;47;51204;29;0;45;3
2020;4;4;31;32789;4;100;21;3
2022;4;3;13;364922;36;100;74;1
2022;4;4;41;68562;57;50;34;1
2020;4;2;12;505625;14;100;68;4
2021;2;2;41;355571;21;0;95;3
2022;4;4;39;401892;52;50;47;2
2021;2;4;6;476778;34;0;55;1
2021;1;1;45;67258;39;50;5;1
2022;3;3;7;56668;47;100;32;4
2021;1;1;10;284304;33;50;42;4
2022;4;2;7;12708;1;50;37;1
2022;2;1;13;352875;27;100;8;4
2020;1;4;33;170971;19;100;86;2
2021;1;1;33;250574;17;0;77;3
2022;2;3;24;122974;33;0;2;3
2022;2;4;5;49552;49;50;39;3
2020;4;4;29;589295;24;50;37;2
2022;3;1;43;599576;49;0;8;2
2022;4;4;40;495094;18;50;64;3
2020;2;4;43;258488;17;100;54;1
2022;1;2;32;335945;15;0;6;3
2021;1;1;1;136738;33;50;26;4
2022;1;1;46;244763;36;0;4;3
2021;4;1;43;240752;10;100;61;2
2021;1;4;13;558964;48;0;82;1
2021;3;2;9;21301;47;50;69;1
2020;3;2;4;466914;28;100;39;4
2020;2;1;1;58132;2;0;75;1
2020;4;3;44;320539;19;50;87;3
2020;1;3;31;36073;4;50;35;4
2020;2;4;3;246150;36;0;7;4
2020;1;4;36;595932;20;50;67;1
2022;1;4;18;247209;14;50;28;3
2021;2;4;47;390816;34;100;20;1
2022;4;1;39;487718;9;0;63;4
2022;4;1;12;140071;48;0;49;1
2021;3;2;31;356808;15;50;34;3
2021;1;1;29;468429;46;100;97;3
2022;4;1;10;547953;36;100;94;2
2020;4;3;29;236927;30;0;12;2
2020;3;3;3;104777;44;0;75;2
2021;1;2;8;193227;11;100;16;4
2022;4;2;17;159231;23;0;24;3
2021;4;2;42;161039;44;100;7;2
2022;1;3;11;67317;19;50;55;3
2022;4;4;23;267470;52;50;30;1
2022;2;1;18;96582;16;100;42;2
2020;1;2;50;335087;51;0;47;3
2021;1;3;22;113362;14;0;8;2
2021;4;2;1;300597;53;50;58;3
2021;3;4;14;136856;5;50;24;1
2021;4;4;48;24988;15;0;86;1
2021;4;2;39;383644;12;0;52;1
2022;1;1;19;402767;41;100;3;3
2022;2;1;36;460263;10;50;3;3
2020;3;2;48;145750;44;0;90;1
2021;4;4;34;65940;19;50;99;2
2020;2;4;34;300621;9;50;6;2
2022;4;1;15;318347;43;0;27;2
2020;1;2;38;19506;25;50;62;1
2021;3;4;18;147702;20;0;90;3
2021;1;1;35;521603;20;100;6;1
2022;4;1;29;268165;26;0;48;3
2020;2;4;35;12899;17;50;56;4
2022;2;1;22;149675;22;50;33;2
2020;2;3;15;279818;47;50;73;2
2021;3;3;10;123647;53;100;90;2
2022;1;2;30;217237;7;100;83;2
2022;2;2;28;89824;56;0;9;2
2022;1;1;23;500752;56;50;71;2
2022;3;3;5;109508;3;50;13;4
2022;2;1;19;436205;21;0;93;3
2020;2;2;47;51849;15;0;78;3
2020;1;3;45;78780;35;0;32;4
2022;2;3;21;520956;38;100;21;3
2022;3;2;28;40402;56;100;77;3
2020;2;3;10;533493;11;50;61;1
2022;3;2;12;276769;56;0;71;3
2022;4;1;8;216833;52;100;16;3
2020;3;4;20;197270;10;50;40;4
2021;1;1;49;18120;27;50;62;2
2022;2;1;18;278307;25;50;23;4
2021;1;4;17;115747;8;50;59;4
2022;2;1;25;556430;46;0;67;2
2022;3;1;21;52201;40;100;53;4
2020;4;4;44;188852;46;0;35;2
2021;2;4;50;578414;32;50;9;2
2022;2;2;15;104915;36;50;45;1
2021;3;2;28;202550;10;50;30;2
2020;2;3;37;514523;38;50;39;1
2022;4;1;48;234780;32;100;99;3
2021;1;1;18;247022;11;50;24;2
2022;2;1;18;213736;36;100;7;4
2020;1;1;20;126686;46;100;3;1
2022;3;3;28;88304;29;50;13;3
2020;4;1;21;162784;57;50;98;3
2021;3;1;15;505043;4;100;77;3
2021;1;2;50;496106;35;100;60;1
2022;4;4;23;559415;2;50;29;2
2020;3;4;23;71349;33;100;63;2
2022;2;4;43;128411;37;100;15;1
2021;4;1;45;152028;26;100;46;4
2020;3;4;45;501251;45;100;60;1
2022;2;2;5;383865;19;50;26;2
2022;2;2;2;48027;9;50;29;1
2020;3;3;30;270349;11;100;75;4
2020;1;3;45;481503;24;100;67;3
2020;4;1;39;344435;6;0;33;4
2021;3;1;6;320982;23;0;94;3
2022;3;2;23;541360;2;50;24;3
2022;4;4;39;536477;9;50;7;1
2022;4;4;48;93668;52;0;46;1
2021;2;3;42;573589;9;50;32;1
2022;1;4;23;546500;15;100;51;2
2021;4;3;28;400310;40;50;56;2
2022;3;2;47;204244;11;0;92;4
2022;4;2;8;106991;41;50;71;1
2022;1;3;26;480650;23;100;85;2
2020;4;4;43;469339;8;100;6;2
2020;2;1;2;45014;7;50;50;3
2020;3;2;5;361649;6;0;9;1
2022;4;1;26;145365;56;50;91;1
2020;2;4;4;337898;36;100;72;1
2021;1;2;14;437984;9;50;22;3
2021;2;3;41;145845;56;100;66;3
2020;1;2;9;164751;36;100;98;4
2020;4;2;41;448182;32;100;28;3
2022;1;3;17;206771;37;100;70;4
2022;2;3;38;377158;16;0;30;1
2020;3;1;42;250596;17;100;58;2
2020;4;3;27;508396;56;0;73;3
2020;4;3;8;537566;23;100;67;1
2022;4;2;21;501136;11;50;47;1
2022;3;4;43;582345;21;100;11;4
2020;1;3;35;296336;46;100;33;2
2021;1;2;49;568810;21;100;55;1
2020;2;3;3;251098;33;100;77;3
2022;1;3;42;22753;22;100;18;1
2022;4;2;45;369306;53;50;68;2
2021;1;2;37;103308;2;100;27;1
2022;4;4;35;354901;16;0;48;1
2021;4;2;2;242423;8;0;5;3
2021;1;4;40;142324;12;0;78;2
2022;1;3;33;344719;28;0;16;4
2022;1;3;13;173859;48;0;14;3
2020;4;4;33;340489;15;0;2;2
2020;2;3;44;2071;19;0;20;4
2020;1;1;37;455425;1;50;22;2
2021;3;3;44;438620;16;50;33;4
2022;4;2;37;563923;41;0;52;3
2020;1;3;17;452192;37;0;79;1
2021;3;3;48;413727;35;50;91;4
2020;4;4;49;463926;29;100;18;4
2022;1;2;37;85359;24;0;92;4
2022;3;3;48;506282;32;100;84;2
2021;4;4;20;156017;24;100;44;2
2022;3;4;10;208334;36;0;58;3
2020;2;1;44;39126;47;100;93;3
2020;2;2;38;34062;56;50;9;3
2022;1;4;37;518895;56;50;54;4
2021;2;2;21;230465;37;0;29;3
2021;3;4;32;248411;24;0;40;3
2022;1;2;46;506027;25;0;39;1
2021;2;3;50;415954;54;50;87;4
2020;2;4;16;355752;19;100;9;1
2021;2;1;27;26638;18;50;88;3
2022;3;4;28;321801;45;50;95;1
2021;4;4;8;57713;40;0;22;3
2022;2;3;29;501003;30;50;67;1
2021;3;4;43;403595;7;100;21;4
2021;1;1;10;275837;39;0;28;4
2021;2;2;2;316320;20;50;18;1
2021;4;4;7;231830;9;0;63;2
2020;1;3;12;569444;41;0;91;3
2022;3;1;27;241276;14;50;98;2
2022;1;3;15;443096;42;50;33;4
2021;3;2;3;29599;31;100;26;3
2022;4;1;12;590923;49;0;80;4
2021;1;1;1;309431;4;0;63;3
2021;3;2;12;497537;23;50;7;3
2020;2;3;32;237875;47;50;7;1
2022;4;1;39;213604;57;0;88;1
2022;3;3;19;272944;24;100;100;3
2020;3;2;26;239878;2;0;25;2
2020;3;1;43;507226;45;100;19;4
2021;3;1;44;65981;14;0;69;2
2022;4;4;9;586929;55;100;20;2
2022;2;3;45;293663;20;100;70;2
2022;3;3;20;332139;55;50;36;2
2022;4;4;11;501062;46;0;68;1
2022;2;3;32;174560;22;50;80;1
2021;2;1;37;503011;27;100;38;1
2021;4;2;24;225756;20;100;11;3
2020;1;1;45;472139;36;50;31;3
2022;1;3;28;452913;33;100;87;4
2022;1;4;27;357548;42;0;70;4
2022;4;4;12;238072;9;0;86;4
2020;3;2;19;476799;4;100;18;1
2020;4;1;12;39608;27;100;84;1
2022;2;4;34;119652;23;0;39;4
2020;3;1;33;567960;8;0;33;4
2022;4;4;23;565998;33;100;11;2
2020;3;1;13;427143;53;100;84;4
2020;1;2;20;383672;33;0;47;3
2021;3;1;39;147245;28;0;85;4
2020;4;3;9;414814;18;0;55;3
2020;4;2;19;132040;39;0;5;1
2020;4;3;10;144718;50;0;14;2
2022;2;4;42;450376;47;0;8;4
2022;1;4;13;352756;55;50;91;2
2022;2;4;36;532332;43;0;28;1
2020;1;1;13;83353;31;0;2;3
2021;3;4;28;39094;14;50;95;3
2022;1;1;16;485298;54;50;61;3
2020;4;2;13;415811;42;100;27;4
2020;1;3;4;222320;37;0;92;3
2020;4;4;41;598039;5;100;2;4
2020;3;4;29;17903;21;100;12;1
2021;3;3;20;123320;24;50;21;3
2020;1;1;13;332508;45;100;84;3
2020;3;1;32;545609;39;100;53;3
2021;4;2;9;400221;25;100;66;1
2022;2;3;16;352577;11;50;6;4
2022;3;2;5;526878;33;100;77;3
2021;4;2;1;23213;27;50;87;2
2020;2;1;27;88682;44;100;2;2
2020;4;4;41;363357;3;0;56;4
2020;2;1;18;293664;9;100;54;3
2020;1;1;25;111927;5;50;30;1
2020;1;3;34;592733;4;100;63;2
2020;3;3;28;164036;1;50;11;3
2021;1;4;3;492057;17;50;98;4
2020;1;4;41;406514;3;100;2;4
2021;4;1;29;106579;13;0;100;2
2020;3;1;40;326493;11;50;45;2
2022;3;2;37;327574;25;100;75;2
2021;1;4;50;439591;39;100;14;4
2021;4;1;30;495345;9;50;84;1
2020;4;1;11;343633;44;0;35;1
2021;1;2;9;210924;50;100;47;2
2021;1;1;28;252610;33;50;64;2
2020;3;4;30;75284;20;100;31;2
2022;4;4;10;138753;54;100;36;1
2020;2;1;20;594652;6;0;38;2
2020;1;2;37;553212;43;100;19;2
2020;2;4;15;541959;7;0;80;2
2022;4;2;8;464293;54;50;46;2
2021;2;2;19;247322;26;0;21;2
2022;1;1;45;371475;55;50;70;3
2020;1;3;25;387456;9;50;66;1
2022;2;3;16;78676;17;100;87;1
2020;4;4;22;326192;39;50;41;4
2020;4;1;40;542181;18;100;23;2
2021;1;4;43;574567;38;50;98;2
2020;1;2;31;26514;36;100;41;2
2021;3;3;8;323902;50;100;48;2
2021;3;1;19;165022;10;0;18;4
2021;1;3;38;241931;2;50;97;3
2020;3;3;6;374669;5;50;54;3
2020;3;1;17;504338;34;50;47;1
2020;2;4;30;378318;44;50;41;4
2020;1;1;29;161163;33;100;36;4
2020;2;3;18;376656;13;50;92;4
2022;2;4;46;348096;44;0;46;4
2021;2;3;1;385220;6;0;32;2
2021;1;4;25;595452;29;0;37;2
2022;4;3;8;487525;27;50;18;2
2020;3;3;31;506924;36;100;87;2
2020;1;4;43;94256;50;0;14;3
2022;3;4;34;202852;25;50;77;1
2020;2;2;15;70993;13;50;66;3
2020;3;4;39;158822;20;0;58;2
2020;4;4;32;494439;30;50;33;4
2021;2;4;50;126559;41;100;28;3
2020;4;4;35;347238;34;100;59;2
2022;2;2;23;61812;34;0;16;2
2022;4;1;3;154443;44;100;48;3
2022;1;4;29;116670;17;100;83;1
2022;4;1;49;25124;46;100;71;4
2020;3;4;48;520705;44;100;100;1
2022;3;1;20;134584;15;0;73;3
2022;3;2;4;101625;18;0;86;3
2021;3;3;17;180039;54;50;76;1
2021;4;4;27;33022;22;0;90;4
2020;1;4;15;391749;40;0;67;2
2021;2;2;28;502378;24;0;42;4
2022;3;3;10;113267;37;50;51;1
2021;1;1;44;407709;54;50;19;2
2020;3;4;5;192661;15;0;10;1
2022;4;4;37;345443;30;50;76;2
2022;3;3;49;196850;56;100;51;3
2021;1;3;49;146583;54;50;32;3
2021;3;1;15;178738;2;0;86;1
2020;1;4;46;534553;13;0;6;4
2022;1;4;20;154734;54;0;2;2
2020;4;1;38;38650;28;100;73;3
2022;2;2;6;58160;28;0;79;4
2020;3;2;26;186995;14;50;14;3
2022;1;3;49;451482;13;0;30;1
2022;2;3;10;291107;50;50;99;4
2021;3;2;30;267398;41;100;60;3
2020;2;4;22;412354;55;0;67;1
2020;2;4;18;210301;17;50;18;3
2021;1;2;10;131620;24;50;30;3
2020;2;1;9;440305;38;50;92;3
2021;4;1;38;78944;43;100;9;3
2021;2;4;36;402737;5;100;78;2
2022;2;2;49;235855;35;0;47;2
2021;2;3;44;75070;2;50;80;4
2022;1;4;3;234722;35;100;78;1
2021;3;1;47;206008;9;100;78;2
2021;4;3;40;355476;6;0;78;3
2020;3;4;40;243937;23;0;79;1
2021;1;2;32;156933;52;100;17;1
2020;4;1;5;250698;4;50;4;3
2022;2;1;14;176243;52;0;51;3
2022;2;4;49;5041;19;50;31;1
2022;2;2;35;540916;53;0;84;1
2021;1;4;1;152980;55;100;85;3
2020;4;4;28;580295;50;50;61;1
2020;4;1;47;47407;4;50;59;3
2021;3;1;22;499771;54;0;15;4
2022;3;1;20;163175;31;50;2;3
