work_year;experience_level;employment_type;job_title;salary_usd;employee_residence;remote_ratio;company_id;employment_status
2022;1;1;45;539751;43;2;54;3
2021;4;4;10;344673;41;3;28;3
2022;1;4;23;297284;52;2;82;4
2020;2;1;36;119630;52;3;45;1
2020;1;1;14;342777;22;1;18;2
2021;4;4;17;263891;38;3;69;4
2021;2;1;15;352763;11;1;43;4
2020;1;4;23;189915;8;2;80;3
2022;4;1;28;70826;33;2;70;4
2022;2;1;22;483263;28;2;96;4
2021;2;1;2;460086;52;2;68;2
2020;2;4;41;561779;16;3;9;2
2020;4;2;21;534612;19;1;12;1
2021;1;3;27;78574;23;3;45;1
2022;2;1;13;224404;9;3;14;3
2021;3;1;48;66471;21;1;30;3
2021;1;4;18;171129;3;3;83;1
2020;2;3;4;189960;57;2;26;4
2021;1;1;38;60551;50;1;42;2
2020;4;4;16;100876;51;2;70;4
2022;2;3;17;365875;30;2;17;3
2022;4;3;39;369776;40;3;5;1
2020;4;3;44;235711;6;2;98;4
2020;4;4;41;57285;14;2;77;1
2022;1;3;1;301567;46;1;97;3
2020;2;1;39;575800;7;1;73;1
2021;1;2;4;49101;3;3;23;3
2021;4;4;22;479216;30;2;88;1
2020;3;4;4;77643;27;3;49;2
2021;3;1;26;378011;15;3;20;3
2021;3;3;13;225194;24;2;67;1
2022;2;3;35;233504;49;3;84;2
2022;4;4;25;359700;20;1;42;4
2021;1;2;25;381630;41;1;51;4
2022;1;3;50;594370;6;3;67;1
2022;4;1;5;8511;56;3;39;1
2020;2;4;37;320857;46;1;94;2
2020;3;2;46;124060;30;2;48;1
2020;1;1;5;24945;15;1;75;3
2020;4;4;9;184825;29;1;84;3
2021;4;1;14;287160;15;3;72;2
2020;4;3;35;204425;24;3;45;4
2020;2;3;10;593865;20;3;52;4
2021;3;2;47;438597;35;2;98;3
2020;1;4;25;340340;9;1;99;3
2020;3;2;35;441899;5;3;94;3
2022;1;1;50;92547;45;1;72;4
2020;3;2;9;257769;29;3;16;3
2021;2;1;25;73315;11;1;73;2
2021;4;3;44;313422;27;3;66;4
2022;4;3;50;86791;51;3;4;4
2021;4;4;39;590088;19;2;81;4
2020;3;3;47;21838;14;3;92;3
2020;1;2;15;331068;15;3;84;2
2020;1;1;45;29280;26;1;36;3
2020;3;2;7;97723;12;1;98;3
2022;1;4;15;506482;38;3;7;4
2021;2;3;42;335696;11;2;49;4
2020;1;1;3;547707;5;3;42;4
2020;4;2;46;562498;56;2;43;1
2021;3;1;45;57750;9;2;9;2
2022;1;4;22;452603;40;1;21;3
2022;3;4;35;468178;38;2;74;2
2020;3;1;24;203884;9;2;88;2
2020;4;4;23;285964;43;3;81;4
2021;3;4;3;348945;42;1;39;4
2021;3;3;39;59084;44;1;98;1
2022;4;2;35;558341;55;1;91;4
2022;2;2;16;91558;25;2;33;1
2022;2;1;29;224006;16;1;85;2
2020;2;3;30;72544;18;2;70;4
2022;1;1;46;166895;43;3;56;2
2020;1;2;50;360031;17;2;48;2
2021;3;4;5;184545;30;3;12;4
2021;2;2;31;157876;44;2;25;2
2020;4;2;50;143245;54;2;96;3
2020;4;1;6;408252;17;1;40;2
2020;3;2;40;110139;43;3;38;1
2022;1;3;4;358811;22;3;99;1
2022;2;2;7;152855;38;2;49;2
2020;1;3;10;232382;26;1;52;2
2020;1;3;39;19482;40;2;3;3
2021;1;4;11;336732;34;2;92;2
2020;1;2;15;420207;7;2;22;3
2022;2;2;7;175677;53;1;10;4
2021;3;4;7;70676;23;3;10;3
2022;3;4;11;445897;37;1;62;2
2022;3;2;3;17155;49;2;64;3
2021;3;1;17;194757;44;2;54;1
2022;3;2;38;75453;1;3;28;4
2021;3;4;39;249640;31;2;60;3
2020;4;3;28;499224;4;1;58;4
2022;2;2;33;173261;36;1;4;2
2022;1;1;39;257308;16;3;30;4
2021;2;4;42;567123;9;1;99;3
2022;3;4;21;452343;43;3;36;4
2021;4;4;5;396540;29;2;44;2
2020;4;4;41;94123;36;3;37;3
2020;4;1;8;198404;30;2;82;4
2022;3;4;6;200113;15;1;4;3
2021;1;3;37;242825;32;1;45;2
2021;1;2;15;107447;31;2;16;4
2021;3;2;26;487158;27;2;82;1
2020;2;1;44;94325;22;1;75;3
2020;2;1;14;40736;6;3;1;4
2021;3;3;36;30810;49;2;4;2
2020;1;2;11;192749;9;2;75;1
2022;3;3;3;538446;28;1;22;2
2022;2;4;2;314263;13;1;71;1
2022;4;1;34;462697;44;1;57;1
2022;4;3;3;449643;36;3;84;2
2022;2;2;29;572836;12;3;88;3
2020;3;1;43;70948;24;1;23;1
2021;4;1;45;8288;19;2;95;1
2022;3;4;7;365168;57;3;8;3
2020;4;4;9;443673;15;2;73;3
2022;4;1;47;45703;15;3;38;1
2021;1;4;32;324882;11;1;89;2
2022;3;3;18;572083;13;3;9;2
2021;1;4;21;444910;35;2;48;4
2022;2;4;47;74939;47;1;17;3
2020;1;3;22;569898;9;1;45;4
2022;3;1;4;278782;28;1;34;4
2022;2;3;44;363308;31;1;20;3
2020;1;1;14;287444;19;3;27;2
2021;3;2;49;112460;55;2;60;2
2021;1;1;11;323467;7;3;84;2
2020;1;1;4;113278;27;1;50;2
2022;1;4;36;356555;22;3;74;2
2022;3;4;5;126529;15;2;82;1
2020;3;1;40;299286;52;1;9;3
2021;3;4;43;302877;7;2;92;1
2022;3;3;7;375515;27;1;72;3
2020;3;2;10;150213;52;2;73;2
2022;3;2;40;137542;2;2;85;3
2021;4;1;24;398904;36;2;84;2
2020;2;4;2;211953;19;3;34;4
2021;2;3;8;572869;5;3;72;2
2021;2;2;37;219158;12;3;77;2
2020;3;2;16;372412;51;2;32;1
2022;3;1;4;47533;36;1;29;4
2022;2;4;20;20840;5;1;57;2
2020;2;1;23;42638;24;3;32;1
2020;1;1;14;146523;56;1;75;3
2021;3;3;18;528667;10;2;61;1
2022;3;4;40;534709;35;2;91;4
2022;3;4;11;349018;43;1;18;1
2022;2;3;16;272150;2;2;33;3
2020;3;2;47;506459;49;3;58;4
2022;4;3;43;354798;56;3;24;4
2020;3;2;12;41361;50;1;70;3
2021;2;3;32;422585;28;1;39;1
2021;4;3;5;451129;44;2;64;1
2021;3;4;25;282886;43;3;2;4
2022;1;3;14;58219;16;1;90;3
2020;3;2;20;480387;29;2;8;3
2021;2;4;44;455918;43;3;82;2
2021;3;4;10;494898;49;3;50;2
2020;1;4;44;526728;23;2;9;4
2022;4;1;26;289515;25;1;85;3
2020;4;1;10;24516;22;3;66;1
2020;2;3;10;314416;25;3;79;1
2022;1;2;10;322730;51;1;1;1
2020;3;3;1;187104;35;1;40;2
2020;2;3;27;497527;21;2;82;1
2020;4;4;10;260058;19;2;31;2
2022;2;4;17;17050;42;1;84;3
2021;3;4;8;368058;41;1;27;4
2020;2;2;18;381326;51;2;43;1
2020;2;1;20;532430;19;1;93;1
2021;3;1;23;318061;38;1;76;4
2021;4;4;20;412003;10;3;87;2
2021;3;4;37;539669;10;1;91;1
2021;4;4;18;63663;25;2;93;1
2022;3;2;30;456557;56;1;9;2
2022;1;3;37;419025;32;1;58;2
2021;4;1;47;340351;22;1;71;1
2022;1;1;33;187584;50;2;23;3
2022;4;4;10;288436;8;3;36;3
2022;3;3;47;311790;15;1;49;2
2021;2;3;37;50801;51;2;34;4
2021;4;1;32;259042;42;2;93;4
2021;1;3;42;410324;22;1;81;4
2022;2;2;11;371139;5;2;70;3
2021;4;1;16;404556;20;2;2;3
2022;2;2;12;380883;48;1;46;1
2022;3;1;47;394945;35;1;31;1
2021;1;4;25;463471;44;1;21;1
2022;4;4;9;163469;4;1;31;1
2022;2;4;48;561663;31;3;68;1
2022;2;3;24;467108;56;1;31;1
2022;2;4;40;515030;22;1;51;1
2022;4;3;17;153027;15;3;46;3
2021;2;3;20;37634;41;1;96;3
2021;3;1;11;59033;38;1;40;3
2020;1;1;33;580422;44;2;32;2
2022;3;1;30;593623;11;1;13;3
2021;2;3;26;408864;46;1;56;2
2021;1;2;36;128400;34;1;87;4
2021;1;3;5;81378;50;3;30;2
2022;2;3;29;443340;42;1;12;1
2020;2;4;30;66114;56;3;34;3
2021;3;3;33;467278;9;2;62;1
2021;1;2;3;255924;39;3;24;4
2021;3;2;1;108749;31;3;43;1
2022;3;3;15;40877;21;3;24;2
2021;2;1;49;54629;42;1;70;4
2021;2;2;33;264182;6;3;77;2
2020;4;3;41;523410;49;3;48;4
2021;1;3;49;351092;9;3;75;1
2020;1;4;1;463424;55;3;35;2
2022;1;2;41;113463;26;1;46;1
2020;3;4;8;477561;6;3;86;1
2022;1;4;46;474054;17;1;27;3
2021;2;4;43;272518;37;2;75;1
2020;3;3;20;225633;51;2;38;1
2020;3;1;15;325130;26;1;35;3
2021;3;4;12;560207;31;3;3;4
2022;2;4;19;19043;56;2;87;2
2022;4;3;5;491502;39;2;59;1
2022;3;3;47;267538;31;3;53;1
2021;3;1;39;535218;36;1;89;3
2021;1;2;20;132300;16;1;50;4
2021;4;3;3;588583;52;2;5;2
2022;4;1;44;278708;37;2;83;3
2022;4;1;45;10125;26;3;16;2
2021;4;4;41;519076;51;2;25;4
2021;4;1;33;209323;22;2;76;3
2022;4;4;32;551428;4;2;55;2
2022;2;1;38;522485;31;3;52;4
2021;1;2;33;552452;44;1;46;3
2022;2;1;17;277702;5;2;47;3
2021;1;4;47;51204;29;1;45;3
2020;4;4;31;32789;4;3;21;3
2022;4;3;13;364922;36;3;74;1
2022;4;4;41;68562;57;2;34;1
2020;4;2;12;505625;14;3;68;4
2021;2;2;41;355571;21;1;95;3
2022;4;4;39;401892;52;2;47;2
2021;2;4;6;476778;34;1;55;1
2021;1;1;45;67258;39;2;5;1
2022;3;3;7;56668;47;3;32;4
2021;1;1;10;284304;33;2;42;4
2022;4;2;7;12708;1;2;37;1
2022;2;1;13;352875;27;3;8;4
2020;1;4;33;170971;19;3;86;2
2021;1;1;33;250574;17;1;77;3
2022;2;3;24;122974;33;1;2;3
2022;2;4;5;49552;49;2;39;3
2020;4;4;29;589295;24;2;37;2
2022;3;1;43;599576;49;1;8;2
2022;4;4;40;495094;18;2;64;3
2020;2;4;43;258488;17;3;54;1
2022;1;2;32;335945;15;1;6;3
2021;1;1;1;136738;33;2;26;4
2022;1;1;46;244763;36;1;4;3
2021;4;1;43;240752;10;3;61;2
2021;1;4;13;558964;48;1;82;1
2021;3;2;9;21301;47;2;69;1
2020;3;2;4;466914;28;3;39;4
2020;2;1;1;58132;2;1;75;1
2020;4;3;44;320539;19;2;87;3
2020;1;3;31;36073;4;2;35;4
2020;2;4;3;246150;36;1;7;4
2020;1;4;36;595932;20;2;67;1
2022;1;4;18;247209;14;2;28;3
2021;2;4;47;390816;34;3;20;1
2022;4;1;39;487718;9;1;63;4
2022;4;1;12;140071;48;1;49;1
2021;3;2;31;356808;15;2;34;3
2021;1;1;29;468429;46;3;97;3
2022;4;1;10;547953;36;3;94;2
2020;4;3;29;236927;30;1;12;2
2020;3;3;3;104777;44;1;75;2
2021;1;2;8;193227;11;3;16;4
2022;4;2;17;159231;23;1;24;3
2021;4;2;42;161039;44;3;7;2
2022;1;3;11;67317;19;2;55;3
2022;4;4;23;267470;52;2;30;1
2022;2;1;18;96582;16;3;42;2
2020;1;2;50;335087;51;1;47;3
2021;1;3;22;113362;14;1;8;2
2021;4;2;1;300597;53;2;58;3
2021;3;4;14;136856;5;2;24;1
2021;4;4;48;24988;15;1;86;1
2021;4;2;39;383644;12;1;52;1
2022;1;1;19;402767;41;3;3;3
2022;2;1;36;460263;10;2;3;3
2020;3;2;48;145750;44;1;90;1
2021;4;4;34;65940;19;2;99;2
2020;2;4;34;300621;9;2;6;2
2022;4;1;15;318347;43;1;27;2
2020;1;2;38;19506;25;2;62;1
2021;3;4;18;147702;20;1;90;3
2021;1;1;35;521603;20;3;6;1
2022;4;1;29;268165;26;1;48;3
2020;2;4;35;12899;17;2;56;4
2022;2;1;22;149675;22;2;33;2
2020;2;3;15;279818;47;2;73;2
2021;3;3;10;123647;53;3;90;2
2022;1;2;30;217237;7;3;83;2
2022;2;2;28;89824;56;1;9;2
2022;1;1;23;500752;56;2;71;2
2022;3;3;5;109508;3;2;13;4
2022;2;1;19;436205;21;1;93;3
2020;2;2;47;51849;15;1;78;3
2020;1;3;45;78780;35;1;32;4
2022;2;3;21;520956;38;3;21;3
2022;3;2;28;40402;56;3;77;3
2020;2;3;10;533493;11;2;61;1
2022;3;2;12;276769;56;1;71;3
2022;4;1;8;216833;52;3;16;3
2020;3;4;20;197270;10;2;40;4
2021;1;1;49;18120;27;2;62;2
2022;2;1;18;278307;25;2;23;4
2021;1;4;17;115747;8;2;59;4
2022;2;1;25;556430;46;1;67;2
2022;3;1;21;52201;40;3;53;4
2020;4;4;44;188852;46;1;35;2
2021;2;4;50;578414;32;2;9;2
2022;2;2;15;104915;36;2;45;1
2021;3;2;28;202550;10;2;30;2
2020;2;3;37;514523;38;2;39;1
2022;4;1;48;234780;32;3;99;3
2021;1;1;18;247022;11;2;24;2
2022;2;1;18;213736;36;3;7;4
2020;1;1;20;126686;46;3;3;1
2022;3;3;28;88304;29;2;13;3
2020;4;1;21;162784;57;2;98;3
2021;3;1;15;505043;4;3;77;3
2021;1;2;50;496106;35;3;60;1
2022;4;4;23;559415;2;2;29;2
2020;3;4;23;71349;33;3;63;2
2022;2;4;43;128411;37;3;15;1
2021;4;1;45;152028;26;3;46;4
2020;3;4;45;501251;45;3;60;1
2022;2;2;5;383865;19;2;26;2
2022;2;2;2;48027;9;2;29;1
2020;3;3;30;270349;11;3;75;4
2020;1;3;45;481503;24;3;67;3
2020;4;1;39;344435;6;1;33;4
2021;3;1;6;320982;23;1;94;3
2022;3;2;23;541360;2;2;24;3
2022;4;4;39;536477;9;2;7;1
2022;4;4;48;93668;52;1;46;1
2021;2;3;42;573589;9;2;32;1
2022;1;4;23;546500;15;3;51;2
2021;4;3;28;400310;40;2;56;2
2022;3;2;47;204244;11;1;92;4
2022;4;2;8;106991;41;2;71;1
2022;1;3;26;480650;23;3;85;2
2020;4;4;43;469339;8;3;6;2
2020;2;1;2;45014;7;2;50;3
2020;3;2;5;361649;6;1;9;1
2022;4;1;26;145365;56;2;91;1
2020;2;4;4;337898;36;3;72;1
2021;1;2;14;437984;9;2;22;3
2021;2;3;41;145845;56;3;66;3
2020;1;2;9;164751;36;3;98;4
2020;4;2;41;448182;32;3;28;3
2022;1;3;17;206771;37;3;70;4
2022;2;3;38;377158;16;1;30;1
2020;3;1;42;250596;17;3;58;2
2020;4;3;27;508396;56;1;73;3
2020;4;3;8;537566;23;3;67;1
2022;4;2;21;501136;11;2;47;1
2022;3;4;43;582345;21;3;11;4
2020;1;3;35;296336;46;3;33;2
2021;1;2;49;568810;21;3;55;1
2020;2;3;3;251098;33;3;77;3
2022;1;3;42;22753;22;3;18;1
2022;4;2;45;369306;53;2;68;2
2021;1;2;37;103308;2;3;27;1
2022;4;4;35;354901;16;1;48;1
2021;4;2;2;242423;8;1;5;3
2021;1;4;40;142324;12;1;78;2
2022;1;3;33;344719;28;1;16;4
2022;1;3;13;173859;48;1;14;3
2020;4;4;33;340489;15;1;2;2
2020;2;3;44;2071;19;1;20;4
2020;1;1;37;455425;1;2;22;2
2021;3;3;44;438620;16;2;33;4
2022;4;2;37;563923;41;1;52;3
2020;1;3;17;452192;37;1;79;1
2021;3;3;48;413727;35;2;91;4
2020;4;4;49;463926;29;3;18;4
2022;1;2;37;85359;24;1;92;4
2022;3;3;48;506282;32;3;84;2
2021;4;4;20;156017;24;3;44;2
2022;3;4;10;208334;36;1;58;3
2020;2;1;44;39126;47;3;93;3
2020;2;2;38;34062;56;2;9;3
2022;1;4;37;518895;56;2;54;4
2021;2;2;21;230465;37;1;29;3
2021;3;4;32;248411;24;1;40;3
2022;1;2;46;506027;25;1;39;1
2021;2;3;50;415954;54;2;87;4
2020;2;4;16;355752;19;3;9;1
2021;2;1;27;26638;18;2;88;3
2022;3;4;28;321801;45;2;95;1
2021;4;4;8;57713;40;1;22;3
2022;2;3;29;501003;30;2;67;1
2021;3;4;43;403595;7;3;21;4
2021;1;1;10;275837;39;1;28;4
2021;2;2;2;316320;20;2;18;1
2021;4;4;7;231830;9;1;63;2
2020;1;3;12;569444;41;1;91;3
2022;3;1;27;241276;14;2;98;2
2022;1;3;15;443096;42;2;33;4
2021;3;2;3;29599;31;3;26;3
2022;4;1;12;590923;49;1;80;4
2021;1;1;1;309431;4;1;63;3
2021;3;2;12;497537;23;2;7;3
2020;2;3;32;237875;47;2;7;1
2022;4;1;39;213604;57;1;88;1
2022;3;3;19;272944;24;3;100;3
2020;3;2;26;239878;2;1;25;2
2020;3;1;43;507226;45;3;19;4
2021;3;1;44;65981;14;1;69;2
2022;4;4;9;586929;55;3;20;2
2022;2;3;45;293663;20;3;70;2
2022;3;3;20;332139;55;2;36;2
2022;4;4;11;501062;46;1;68;1
2022;2;3;32;174560;22;2;80;1
2021;2;1;37;503011;27;3;38;1
2021;4;2;24;225756;20;3;11;3
2020;1;1;45;472139;36;2;31;3
2022;1;3;28;452913;33;3;87;4
2022;1;4;27;357548;42;1;70;4
2022;4;4;12;238072;9;1;86;4
2020;3;2;19;476799;4;3;18;1
2020;4;1;12;39608;27;3;84;1
2022;2;4;34;119652;23;1;39;4
2020;3;1;33;567960;8;1;33;4
2022;4;4;23;565998;33;3;11;2
2020;3;1;13;427143;53;3;84;4
2020;1;2;20;383672;33;1;47;3
2021;3;1;39;147245;28;1;85;4
2020;4;3;9;414814;18;1;55;3
2020;4;2;19;132040;39;1;5;1
2020;4;3;10;144718;50;1;14;2
2022;2;4;42;450376;47;1;8;4
2022;1;4;13;352756;55;2;91;2
2022;2;4;36;532332;43;1;28;1
2020;1;1;13;83353;31;1;2;3
2021;3;4;28;39094;14;2;95;3
2022;1;1;16;485298;54;2;61;3
2020;4;2;13;415811;42;3;27;4
2020;1;3;4;222320;37;1;92;3
2020;4;4;41;598039;5;3;2;4
2020;3;4;29;17903;21;3;12;1
2021;3;3;20;123320;24;2;21;3
2020;1;1;13;332508;45;3;84;3
2020;3;1;32;545609;39;3;53;3
2021;4;2;9;400221;25;3;66;1
2022;2;3;16;352577;11;2;6;4
2022;3;2;5;526878;33;3;77;3
2021;4;2;1;23213;27;2;87;2
2020;2;1;27;88682;44;3;2;2
2020;4;4;41;363357;3;1;56;4
2020;2;1;18;293664;9;3;54;3
2020;1;1;25;111927;5;2;30;1
2020;1;3;34;592733;4;3;63;2
2020;3;3;28;164036;1;2;11;3
2021;1;4;3;492057;17;2;98;4
2020;1;4;41;406514;3;3;2;4
2021;4;1;29;106579;13;1;100;2
2020;3;1;40;326493;11;2;45;2
2022;3;2;37;327574;25;3;75;2
2021;1;4;50;439591;39;3;14;4
2021;4;1;30;495345;9;2;84;1
2020;4;1;11;343633;44;1;35;1
2021;1;2;9;210924;50;3;47;2
2021;1;1;28;252610;33;2;64;2
2020;3;4;30;75284;20;3;31;2
2022;4;4;10;138753;54;3;36;1
2020;2;1;20;594652;6;1;38;2
2020;1;2;37;553212;43;3;19;2
2020;2;4;15;541959;7;1;80;2
2022;4;2;8;464293;54;2;46;2
2021;2;2;19;247322;26;1;21;2
2022;1;1;45;371475;55;2;70;3
2020;1;3;25;387456;9;2;66;1
2022;2;3;16;78676;17;3;87;1
2020;4;4;22;326192;39;2;41;4
2020;4;1;40;542181;18;3;23;2
2021;1;4;43;574567;38;2;98;2
2020;1;2;31;26514;36;3;41;2
2021;3;3;8;323902;50;3;48;2
2021;3;1;19;165022;10;1;18;4
2021;1;3;38;241931;2;2;97;3
2020;3;3;6;374669;5;2;54;3
2020;3;1;17;504338;34;2;47;1
2020;2;4;30;378318;44;2;41;4
2020;1;1;29;161163;33;3;36;4
2020;2;3;18;376656;13;2;92;4
2022;2;4;46;348096;44;1;46;4
2021;2;3;1;385220;6;1;32;2
2021;1;4;25;595452;29;1;37;2
2022;4;3;8;487525;27;2;18;2
2020;3;3;31;506924;36;3;87;2
2020;1;4;43;94256;50;1;14;3
2022;3;4;34;202852;25;2;77;1
2020;2;2;15;70993;13;2;66;3
2020;3;4;39;158822;20;1;58;2
2020;4;4;32;494439;30;2;33;4
2021;2;4;50;126559;41;3;28;3
2020;4;4;35;347238;34;3;59;2
2022;2;2;23;61812;34;1;16;2
2022;4;1;3;154443;44;3;48;3
2022;1;4;29;116670;17;3;83;1
2022;4;1;49;25124;46;3;71;4
2020;3;4;48;520705;44;3;100;1
2022;3;1;20;134584;15;1;73;3
2022;3;2;4;101625;18;1;86;3
2021;3;3;17;180039;54;2;76;1
2021;4;4;27;33022;22;1;90;4
2020;1;4;15;391749;40;1;67;2
2021;2;2;28;502378;24;1;42;4
2022;3;3;10;113267;37;2;51;1
2021;1;1;44;407709;54;2;19;2
2020;3;4;5;192661;15;1;10;1
2022;4;4;37;345443;30;2;76;2
2022;3;3;49;196850;56;3;51;3
2021;1;3;49;146583;54;2;32;3
2021;3;1;15;178738;2;1;86;1
2020;1;4;46;534553;13;1;6;4
2022;1;4;20;154734;54;1;2;2
2020;4;1;38;38650;28;3;73;3
2022;2;2;6;58160;28;1;79;4
2020;3;2;26;186995;14;2;14;3
2022;1;3;49;451482;13;1;30;1
2022;2;3;10;291107;50;2;99;4
2021;3;2;30;267398;41;3;60;3
2020;2;4;22;412354;55;1;67;1
2020;2;4;18;210301;17;2;18;3
2021;1;2;10;131620;24;2;30;3
2020;2;1;9;440305;38;2;92;3
2021;4;1;38;78944;43;3;9;3
2021;2;4;36;402737;5;3;78;2
2022;2;2;49;235855;35;1;47;2
2021;2;3;44;75070;2;2;80;4
2022;1;4;3;234722;35;3;78;1
2021;3;1;47;206008;9;3;78;2
2021;4;3;40;355476;6;1;78;3
2020;3;4;40;243937;23;1;79;1
2021;1;2;32;156933;52;3;17;1
2020;4;1;5;250698;4;2;4;3
2022;2;1;14;176243;52;1;51;3
2022;2;4;49;5041;19;2;31;1
2022;2;2;35;540916;53;1;84;1
2021;1;4;1;152980;55;3;85;3
2020;4;4;28;580295;50;2;61;1
2020;4;1;47;47407;4;2;59;3
2021;3;1;22;499771;54;1;15;4
2022;3;1;20;163175;31;2;2;3
